T,Patents,,,,,
398,Kazakhstan,1995,Grants of patents (number),"1,281",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
398,Kazakhstan,2010,Grants of patents (number),"1,868",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
398,Kazakhstan,2020,Grants of patents (number),709,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
398,Kazakhstan,2021,Grants of patents (number),651,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
398,Kazakhstan,2010,Patents in force (number),581,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
398,Kazakhstan,2019,Patents in force (number),"2,891",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
398,Kazakhstan,2020,Patents in force (number),"3,152",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
398,Kazakhstan,2021,Patents in force (number),"3,137",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
404,Kenya,2005,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
404,Kenya,2010,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
404,Kenya,2019,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
404,Kenya,2020,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
404,Kenya,2021,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
404,Kenya,1985,Grants of patents (number),98,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
404,Kenya,2005,Grants of patents (number),48,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
404,Kenya,2010,Grants of patents (number),54,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
404,Kenya,2019,Grants of patents (number),28,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
404,Kenya,2020,Grants of patents (number),35,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
404,Kenya,2021,Grants of patents (number),35,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
296,Kiribati,1985,Grants of patents (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
417,Kyrgyzstan,1995,Resident patent filings (per million population),26,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
417,Kyrgyzstan,2010,Resident patent filings (per million population),26,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
417,Kyrgyzstan,2019,Resident patent filings (per million population),16,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
417,Kyrgyzstan,2020,Resident patent filings (per million population),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
417,Kyrgyzstan,2021,Resident patent filings (per million population),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
417,Kyrgyzstan,1995,Grants of patents (number),133,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
417,Kyrgyzstan,2010,Grants of patents (number),109,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
417,Kyrgyzstan,2019,Grants of patents (number),67,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
417,Kyrgyzstan,2020,Grants of patents (number),49,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
417,Kyrgyzstan,2021,Grants of patents (number),39,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
417,Kyrgyzstan,2010,Patents in force (number),112,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
417,Kyrgyzstan,2019,Patents in force (number),223,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
417,Kyrgyzstan,2020,Patents in force (number),194,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
417,Kyrgyzstan,2021,Patents in force (number),173,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
418,Lao People's Dem. Rep.,2005,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
418,Lao People's Dem. Rep.,2020,Grants of patents (number),14,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
418,Lao People's Dem. Rep.,2020,Patents in force (number),574,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,1995,Resident patent filings (per million population),85,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,2005,Resident patent filings (per million population),53,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,2010,Resident patent filings (per million population),101,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,2019,Resident patent filings (per million population),54,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,2020,Resident patent filings (per million population),64,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,2021,Resident patent filings (per million population),67,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,1995,Grants of patents (number),629,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,2005,Grants of patents (number),122,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,2010,Grants of patents (number),184,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,2019,Grants of patents (number),52,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,2020,Grants of patents (number),60,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,2021,Grants of patents (number),76,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,2005,Patents in force (number),"4,012",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,2010,Patents in force (number),"5,680",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,2019,Patents in force (number),"9,928",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,2020,Patents in force (number),"9,249",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
428,Latvia,2021,Patents in force (number),"10,726",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
426,Lesotho,1995,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
426,Lesotho,2019,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
426,Lesotho,1995,Grants of patents (number),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
434,Libya,1995,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,1995,Resident patent filings (per million population),29,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,2005,Resident patent filings (per million population),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,2010,Resident patent filings (per million population),38,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,2019,Resident patent filings (per million population),43,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,2020,Resident patent filings (per million population),52,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,2021,Resident patent filings (per million population),55,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,1995,Grants of patents (number),494,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,2005,Grants of patents (number),116,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,2010,Grants of patents (number),84,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,2019,Grants of patents (number),112,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,2020,Grants of patents (number),106,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,2021,Grants of patents (number),83,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,2005,Patents in force (number),"3,835",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,2010,Patents in force (number),"5,202",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,2019,Patents in force (number),"11,810",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,2020,Patents in force (number),"12,354",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
440,Lithuania,2021,Patents in force (number),"12,718",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
442,Luxembourg,1985,Grants of patents (number),418,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
442,Luxembourg,2005,Grants of patents (number),29,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
442,Luxembourg,2010,Grants of patents (number),87,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
442,Luxembourg,2019,Grants of patents (number),326,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
442,Luxembourg,2020,Grants of patents (number),438,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
442,Luxembourg,2021,Grants of patents (number),"1,036",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
442,Luxembourg,2010,Patents in force (number),"42,805",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
442,Luxembourg,2019,Patents in force (number),"145,728",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
442,Luxembourg,2020,Patents in force (number),"165,249",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
442,Luxembourg,2021,Patents in force (number),"143,988",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
450,Madagascar,1995,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
450,Madagascar,1995,Grants of patents (number),25,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
450,Madagascar,2005,Grants of patents (number),32,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
450,Madagascar,2010,Grants of patents (number),55,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
450,Madagascar,2019,Grants of patents (number),15,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
450,Madagascar,2020,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
450,Madagascar,2021,Grants of patents (number),48,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
450,Madagascar,2005,Patents in force (number),249,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
450,Madagascar,2010,Patents in force (number),387,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
450,Madagascar,2019,Patents in force (number),234,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
450,Madagascar,2020,Patents in force (number),209,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
450,Madagascar,2021,Patents in force (number),223,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
454,Malawi,1985,Grants of patents (number),43,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
454,Malawi,1995,Grants of patents (number),23,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
454,Malawi,2010,Grants of patents (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,1985,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,1995,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,2005,Resident patent filings (per million population),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,2010,Resident patent filings (per million population),44,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,2019,Resident patent filings (per million population),34,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,2020,Resident patent filings (per million population),31,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,2021,Resident patent filings (per million population),27,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,1985,Grants of patents (number),"1,150",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,1995,Grants of patents (number),"1,753",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,2005,Grants of patents (number),"2,508",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,2010,Grants of patents (number),"2,160",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,2019,Grants of patents (number),"4,106",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,2020,Grants of patents (number),"8,206",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,2021,Grants of patents (number),"6,876",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,2010,Patents in force (number),"20,908",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,2019,Patents in force (number),"27,309",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,2020,Patents in force (number),"31,975",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
458,Malaysia,2021,Patents in force (number),"34,141",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
466,Mali,2021,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
470,Malta,1985,Grants of patents (number),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
470,Malta,1995,Grants of patents (number),19,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
470,Malta,2010,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
470,Malta,2019,Grants of patents (number),23,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
470,Malta,2020,Grants of patents (number),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
470,Malta,2021,Grants of patents (number),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
470,Malta,2010,Patents in force (number),832,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
470,Malta,2019,Patents in force (number),233,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
470,Malta,2020,Patents in force (number),248,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
470,Malta,2021,Patents in force (number),233,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
480,Mauritius,1985,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
480,Mauritius,1995,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
480,Mauritius,2019,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
480,Mauritius,2020,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
480,Mauritius,2021,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
480,Mauritius,1985,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
480,Mauritius,1995,Grants of patents (number),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
480,Mauritius,2010,Grants of patents (number),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
480,Mauritius,2019,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
480,Mauritius,2020,Grants of patents (number),17,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
480,Mauritius,2021,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
480,Mauritius,2021,Patents in force (number),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,1985,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,1995,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,2005,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,2010,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,2019,Resident patent filings (per million population),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,2020,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,2021,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,1985,Grants of patents (number),977,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,1995,Grants of patents (number),"3,538",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,2005,Grants of patents (number),"8,098",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,2010,Grants of patents (number),"9,399",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,2019,Grants of patents (number),"8,702",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,2020,Grants of patents (number),"7,726",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,2021,Grants of patents (number),"10,369",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,2005,Patents in force (number),"48,374",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,2010,Patents in force (number),"82,017",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,2019,Patents in force (number),"113,449",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,2020,Patents in force (number),"113,330",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
484,Mexico,2021,Patents in force (number),"117,170",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
492,Monaco,1985,Grants of patents (number),66,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
492,Monaco,1995,Grants of patents (number),36,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
492,Monaco,2005,Grants of patents (number),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
492,Monaco,2010,Grants of patents (number),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
492,Monaco,2019,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
492,Monaco,2020,Grants of patents (number),16,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
492,Monaco,2021,Grants of patents (number),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
492,Monaco,2005,Patents in force (number),"37,483",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
492,Monaco,2010,Patents in force (number),"53,859",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
492,Monaco,2019,Patents in force (number),"112,286",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
492,Monaco,2020,Patents in force (number),"109,213",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
492,Monaco,2021,Patents in force (number),"108,388",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,1995,Resident patent filings (per million population),57,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,2005,Resident patent filings (per million population),40,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,2010,Resident patent filings (per million population),40,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,2019,Resident patent filings (per million population),26,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,2020,Resident patent filings (per million population),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,2021,Resident patent filings (per million population),33,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,1985,Grants of patents (number),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,1995,Grants of patents (number),117,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,2005,Grants of patents (number),197,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,2010,Grants of patents (number),96,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,2019,Grants of patents (number),177,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,2020,Grants of patents (number),124,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,2021,Grants of patents (number),186,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,2005,Patents in force (number),"13,663",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,2010,Patents in force (number),"2,645",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,2019,Patents in force (number),"1,155",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,2020,Patents in force (number),"1,317",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
496,Mongolia,2021,Patents in force (number),"1,445",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
499,Montenegro,2010,Grants of patents (number),264,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
499,Montenegro,2019,Grants of patents (number),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
499,Montenegro,2020,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
499,Montenegro,2010,Patents in force (number),264,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,1985,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,1995,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,2005,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,2010,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,2019,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,2020,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,2021,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,1985,Grants of patents (number),313,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,1995,Grants of patents (number),354,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,2005,Grants of patents (number),556,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,2010,Grants of patents (number),808,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,2019,Grants of patents (number),357,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,2020,Grants of patents (number),400,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,2021,Grants of patents (number),745,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,2005,Patents in force (number),"9,872",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
504,Morocco,2019,Patents in force (number),"8,737",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
